image,plate_index,candidate_rank,selected,estimated_type,plate_type,plate_subtype,target_len,text_len,length_ok,text,lpr_score,beam_score
fenqusai/test_photo/ccpd2019_ccpd_base__00885895593869-89_94-252_485_444_539-440_548_245_549_246_482_441_481-0_0_33_24_6_27_30-150-30.jpg,0,0,True,blue,blue,,7,7,True,皖A90G36,0.9999992317679567,-1.3828182090946939e-05
fenqusai/test_photo/ccpd2019_ccpd_base__00885895593869-89_94-252_485_444_539-440_548_245_549_246_482_441_481-0_0_33_24_6_27_30-150-30.jpg,0,1,False,blue,green,,8,7,False,皖A90G36,0.9999992317679567,-1.3828182090946939e-05
fenqusai/test_photo/ccpd2019_ccpd_base__00885895593869-89_94-252_485_444_539-440_548_245_549_246_482_441_481-0_0_33_24_6_27_30-150-30.jpg,0,2,False,blue,yellow,,7,7,True,皖A90G36,0.9999992317679567,-1.3828182090946939e-05
fenqusai/test_photo/ccpd2019_ccpd_base__00885895593869-89_94-252_485_444_539-440_548_245_549_246_482_441_481-0_0_33_24_6_27_30-150-30.jpg,0,3,False,blue,black,,7,7,True,皖A90G36,0.9999992317679567,-1.3828182090946939e-05
fenqusai/test_photo/ccpd2020_test__055373563218390806-90_250-93_478_585_581-585_581_125_574_93_478_582_480-0_0_3_32_29_30_29_32-108-249.jpg,0,0,True,green,green,,8,8,True,新AD8565C,0.8500994586928946,-2.92323467008805
fenqusai/test_photo/ccpd2020_test__055373563218390806-90_250-93_478_585_581-585_581_125_574_93_478_582_480-0_0_3_32_29_30_29_32-108-249.jpg,0,1,False,green,green,tractor_green,8,8,True,新AD8565C,0.8500994586928946,-2.92323467008805
fenqusai/test_photo/ccpd2020_test__055373563218390806-90_250-93_478_585_581-585_581_125_574_93_478_582_480-0_0_3_32_29_30_29_32-108-249.jpg,0,2,False,green,blue,,7,7,True,新AD8565,0.05825313185064133,-51.17323360149726
fenqusai/test_photo/ccpd2020_test__055373563218390806-90_250-93_478_585_581-585_581_125_574_93_478_582_480-0_0_3_32_29_30_29_32-108-249.jpg,0,3,False,green,yellow,,7,7,True,新AD8565,0.05825313185064133,-51.17323360149726
fenqusai/test_photo/ccpd2020_test__055373563218390806-90_250-93_478_585_581-585_581_125_574_93_478_582_480-0_0_3_32_29_30_29_32-108-249.jpg,0,4,False,green,black,,7,7,True,新AD8565,0.05825313185064133,-51.17323360149726
fenqusai/test_photo/clpd_CLPD_1200__118.jpg,0,0,True,yellow,yellow,,7,7,True,辽A4646A,0.9649015793485024,-0.6431251168250895
fenqusai/test_photo/clpd_CLPD_1200__118.jpg,0,1,False,yellow,blue,,7,7,True,辽A4646A,0.9649015793485024,-0.6431251168250895
fenqusai/test_photo/clpd_CLPD_1200__118.jpg,0,2,False,yellow,green,,8,8,True,辽A45646A,0.949942166929492,-0.9243751168250895
fenqusai/test_photo/clpd_CLPD_1200__118.jpg,0,3,False,yellow,black,,7,7,True,辽A4646A,0.9649015793485024,-0.6431251168250895
fenqusai/test_photo/clpd_CLPD_1200__118.jpg,1,0,True,blue,blue,,7,3,False,桂A4,0.9433235432339208,-1.0502271947533401
fenqusai/test_photo/clpd_CLPD_1200__118.jpg,1,1,False,blue,green,,8,3,False,桂A4,0.9433235432339208,-1.0502271947533401
fenqusai/test_photo/clpd_CLPD_1200__118.jpg,1,2,False,blue,yellow,,7,3,False,桂A4,0.9433235432339208,-1.0502271947533401
fenqusai/test_photo/clpd_CLPD_1200__118.jpg,1,3,False,blue,black,,7,3,False,桂A4,0.9433235432339208,-1.0502271947533401
fenqusai/test_photo/clpd_CLPD_1200__580.jpg,0,0,True,blue,blue,,7,7,True,苏GB0000,1.0,0.0
fenqusai/test_photo/clpd_CLPD_1200__580.jpg,0,1,False,blue,green,,8,8,True,苏GXB0000,0.14195332899631125,-35.140625
fenqusai/test_photo/clpd_CLPD_1200__580.jpg,0,2,False,blue,yellow,,7,7,True,苏GB0000,1.0,0.0
fenqusai/test_photo/clpd_CLPD_1200__580.jpg,0,3,False,blue,black,,7,7,True,苏GB0000,1.0,0.0
