image,detection_index,class_id,class_name,score,x1,y1,x2,y2,width,height,area
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,0,2,car,0.912764310836792,3,350,465,695,462,345,159390
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,1,2,car,0.8878707885742188,771,440,1092,584,321,144,46224
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,2,2,car,0.8081436157226562,0,297,91,394,91,97,8827
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,3,2,car,0.797271728515625,1089,485,1279,597,190,112,21280
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,4,2,car,0.6879920959472656,384,373,491,451,107,78,8346
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,5,2,car,0.6595611572265625,1038,481,1166,551,128,70,8960
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,6,2,car,0.6545944213867188,103,330,139,356,36,26,936
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,7,3,traffic_light,0.6414413452148438,486,135,511,187,25,52,1300
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,8,1,person,0.6145172119140625,587,381,618,461,31,80,2480
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,9,3,traffic_light,0.6111774444580078,511,136,537,191,26,55,1430
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,10,1,person,0.5978183746337891,700,406,739,516,39,110,4290
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,11,1,person,0.5644207000732422,805,416,829,476,24,60,1440
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,12,1,person,0.5043048858642578,827,429,867,483,40,54,2160
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,13,1,person,0.5043048858642578,664,407,708,529,44,122,5368
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,14,3,traffic_light,0.49428558349609375,667,345,689,368,22,23,506
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,15,1,person,0.4876060485839844,1173,492,1230,625,57,133,7581
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,16,1,person,0.4775867462158203,778,414,804,474,26,60,1560
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,17,3,traffic_light,0.41413116455078125,47,273,58,294,11,21,231
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,18,2,car,0.4007720947265625,384,349,463,384,79,35,2765
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,19,1,person,0.3974323272705078,727,410,753,476,26,66,1716
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,20,2,car,0.3773937225341797,255,344,312,372,57,28,1596
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,21,1,person,0.3172779083251953,508,372,543,451,35,79,2765
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,22,2,car,0.30725860595703125,157,331,182,350,25,19,475
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,23,3,traffic_light,0.2638416290283203,207,296,218,311,11,15,165
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,24,2,car,0.25730133056640625,487,393,518,441,31,48,1488
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,25,2,car,0.25716209411621094,357,357,390,379,33,22,726
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,26,2,car,0.25716209411621094,1221,501,1279,616,58,115,6670
fenqusai/test_photo/bdd100k_train__525e514a-c3bc06fb.jpg,0,2,car,0.9023666381835938,815,389,1083,541,268,152,40736
fenqusai/test_photo/bdd100k_train__525e514a-c3bc06fb.jpg,1,2,car,0.8769989013671875,125,320,253,417,128,97,12416
fenqusai/test_photo/bdd100k_train__525e514a-c3bc06fb.jpg,2,2,car,0.8733749389648438,0,276,138,435,138,159,21942
fenqusai/test_photo/bdd100k_train__525e514a-c3bc06fb.jpg,3,2,car,0.8182430267333984,743,379,811,440,68,61,4148
