image,plate_index,candidate_rank,selected,estimated_type,plate_type,plate_subtype,target_len,text_len,length_ok,text,lpr_score,beam_score
fenqusai/test_photo/ccpd2019_ccpd_base__00885895593869-89_94-252_485_444_539-440_548_245_549_246_482_441_481-0_0_33_24_6_27_30-150-30.jpg,0,0,True,blue,blue,,7,7,True,皖A90G36,0.9999992317679567,-1.3828182090946939e-05
fenqusai/test_photo/ccpd2019_ccpd_base__00885895593869-89_94-252_485_444_539-440_548_245_549_246_482_441_481-0_0_33_24_6_27_30-150-30.jpg,0,1,False,blue,green,,8,7,False,皖A90G36,0.9999992317679567,-1.3828182090946939e-05
fenqusai/test_photo/ccpd2019_ccpd_base__00885895593869-89_94-252_485_444_539-440_548_245_549_246_482_441_481-0_0_33_24_6_27_30-150-30.jpg,0,2,False,blue,yellow,,7,7,True,皖A90G36,0.9999992317679567,-1.3828182090946939e-05
fenqusai/test_photo/ccpd2019_ccpd_base__00885895593869-89_94-252_485_444_539-440_548_245_549_246_482_441_481-0_0_33_24_6_27_30-150-30.jpg,0,3,False,blue,black,,7,7,True,皖A90G36,0.9999992317679567,-1.3828182090946939e-05
fenqusai/test_photo/ccpd2019_ccpd_base__00948275862069-90_90-274_508_471_569-460_580_277_577_279_517_462_520-0_0_11_12_31_24_24-44-9.jpg,0,0,True,blue,blue,,7,7,True,赣AMN700,0.9990670860758074,-0.01680028846603676
fenqusai/test_photo/ccpd2019_ccpd_base__00948275862069-90_90-274_508_471_569-460_580_277_577_279_517_462_520-0_0_11_12_31_24_24-44-9.jpg,0,1,False,blue,green,,8,7,False,赣AMN700,0.9990670860758074,-0.01680028846603676
fenqusai/test_photo/ccpd2019_ccpd_base__00948275862069-90_90-274_508_471_569-460_580_277_577_279_517_462_520-0_0_11_12_31_24_24-44-9.jpg,0,2,False,blue,yellow,,7,7,True,赣AMN700,0.9990670860758074,-0.01680028846603676
fenqusai/test_photo/ccpd2019_ccpd_base__00948275862069-90_90-274_508_471_569-460_580_277_577_279_517_462_520-0_0_11_12_31_24_24-44-9.jpg,0,3,False,blue,black,,7,7,True,赣AMN700,0.9990670860758074,-0.01680028846603676
fenqusai/test_photo/ccpd2019_ccpd_base__00965517241379-91_83-179_476_355_543-372_553_180_547_165_480_357_486-0_0_9_11_24_24_31-80-15.jpg,0,0,True,blue,blue,,7,7,True,皖AKMD07,0.9753829886022537,-0.44865137323176896
fenqusai/test_photo/ccpd2019_ccpd_base__00965517241379-91_83-179_476_355_543-372_553_180_547_165_480_357_486-0_0_9_11_24_24_31-80-15.jpg,0,1,False,blue,green,,8,7,False,皖AKMD07,0.9753829886022537,-0.44865137323176896
fenqusai/test_photo/ccpd2019_ccpd_base__00965517241379-91_83-179_476_355_543-372_553_180_547_165_480_357_486-0_0_9_11_24_24_31-80-15.jpg,0,2,False,blue,yellow,,7,7,True,皖AKMD07,0.9753829886022537,-0.44865137323176896
fenqusai/test_photo/ccpd2019_ccpd_base__00965517241379-91_83-179_476_355_543-372_553_180_547_165_480_357_486-0_0_9_11_24_24_31-80-15.jpg,0,3,False,blue,black,,7,7,True,皖AKMD07,0.9753829886022537,-0.44865137323176896
fenqusai/test_photo/ccpd2019_ccpd_base__0116918103448-93_81-176_378_349_466-340_461_188_450_178_382_330_393-0_0_17_14_28_27_26-84-23.jpg,0,0,True,blue,blue,,7,7,True,皖ATQ432,0.9997300834882922,-0.00485915302306239
fenqusai/test_photo/ccpd2019_ccpd_base__0116918103448-93_81-176_378_349_466-340_461_188_450_178_382_330_393-0_0_17_14_28_27_26-84-23.jpg,0,1,False,blue,green,,8,8,True,皖ATQL432,0.27858064268703864,-23.00485861285597
fenqusai/test_photo/ccpd2019_ccpd_base__0116918103448-93_81-176_378_349_466-340_461_188_450_178_382_330_393-0_0_17_14_28_27_26-84-23.jpg,0,2,False,blue,yellow,,7,7,True,皖ATQ432,0.9997300834882922,-0.00485915302306239
