image,detection_index,class_id,class_name,score,x1,y1,x2,y2,width,height,area
fenqusai/test_photo/bdd100k_test__d0956277-df643dbf.jpg,0,2,car,0.7714862823486328,568,357,640,415,72,58,4176
fenqusai/test_photo/bdd100k_test__d0956277-df643dbf.jpg,1,3,traffic_light,0.4241504669189453,628,288,645,312,17,24,408
fenqusai/test_photo/bdd100k_test__d0956277-df643dbf.jpg,2,3,traffic_light,0.3974323272705078,432,288,447,309,15,21,315
fenqusai/test_photo/bdd100k_test__d0956277-df643dbf.jpg,3,2,car,0.3745606541633606,648,374,679,403,31,29,899
fenqusai/test_photo/bdd100k_test__d0956277-df643dbf.jpg,4,1,person,0.2905597686767578,1229,297,1266,393,37,96,3552
fenqusai/test_photo/bdd100k_test__e0710856-6ba0faa8.jpg,0,2,car,0.89874267578125,353,244,508,385,155,141,21855
fenqusai/test_photo/bdd100k_test__e0710856-6ba0faa8.jpg,1,2,car,0.8806228637695312,571,254,716,379,145,125,18125
fenqusai/test_photo/bdd100k_test__e0710856-6ba0faa8.jpg,2,2,car,0.8483009338378906,203,256,308,341,105,85,8925
fenqusai/test_photo/bdd100k_test__e0710856-6ba0faa8.jpg,3,2,car,0.7547874450683594,532,286,565,314,33,28,924
fenqusai/test_photo/bdd100k_test__e0710856-6ba0faa8.jpg,4,2,car,0.7284164428710938,303,275,359,325,56,50,2800
fenqusai/test_photo/bdd100k_test__e0710856-6ba0faa8.jpg,5,3,traffic_light,0.694671630859375,626,110,640,146,14,36,504
fenqusai/test_photo/bdd100k_test__e0710856-6ba0faa8.jpg,6,3,traffic_light,0.6612739562988281,87,101,108,148,21,47,987
fenqusai/test_photo/bdd100k_test__e0710856-6ba0faa8.jpg,7,1,person,0.53436279296875,755,278,786,362,31,84,2604
fenqusai/test_photo/bdd100k_test__e0710856-6ba0faa8.jpg,8,1,person,0.5109844207763672,794,277,820,352,26,75,1950
fenqusai/test_photo/bdd100k_test__e0710856-6ba0faa8.jpg,9,1,person,0.5043048858642578,711,281,734,347,23,66,1518
fenqusai/test_photo/bdd100k_test__e0710856-6ba0faa8.jpg,10,2,car,0.4775867462158203,0,263,58,350,58,87,5046
fenqusai/test_photo/bdd100k_test__e0710856-6ba0faa8.jpg,11,1,person,0.44418907165527344,833,270,860,359,27,89,2403
fenqusai/test_photo/bdd100k_test__e0710856-6ba0faa8.jpg,12,1,person,0.41747093200683594,784,278,810,354,26,76,1976
fenqusai/test_photo/bdd100k_test__e0710856-6ba0faa8.jpg,13,1,person,0.3974323272705078,159,268,178,324,19,56,1064
fenqusai/test_photo/bdd100k_test__e0710856-6ba0faa8.jpg,14,2,car,0.36069488525390625,495,278,517,308,22,30,660
fenqusai/test_photo/bdd100k_test__e0710856-6ba0faa8.jpg,15,2,car,0.31059837341308594,500,276,526,302,26,26,676
fenqusai/test_photo/bdd100k_test__e0710856-6ba0faa8.jpg,16,2,car,0.27720069885253906,567,294,590,312,23,18,414
fenqusai/test_photo/bdd100k_test__e0710856-6ba0faa8.jpg,17,1,person,0.2738609313964844,818,271,850,363,32,92,2944
fenqusai/test_photo/bdd100k_test__e0710856-6ba0faa8.jpg,18,1,person,0.2705211639404297,146,271,166,324,20,53,1060
fenqusai/test_photo/bdd100k_test__e0710856-6ba0faa8.jpg,19,2,car,0.26092529296875,476,252,511,353,35,101,3535
fenqusai/test_photo/bdd100k_test__e1c141dd-a67ed64b.jpg,0,2,car,0.8733749389648438,0,367,200,526,200,159,31800
fenqusai/test_photo/bdd100k_test__e1c141dd-a67ed64b.jpg,1,2,car,0.7646560668945312,730,379,1038,495,308,116,35728
fenqusai/test_photo/bdd100k_test__e1c141dd-a67ed64b.jpg,2,2,car,0.7013511657714844,615,411,729,478,114,67,7638
fenqusai/test_photo/bdd100k_test__e1c141dd-a67ed64b.jpg,3,2,car,0.6579341888427734,371,404,490,481,119,77,9163
fenqusai/test_photo/bdd100k_test__e1c141dd-a67ed64b.jpg,4,2,car,0.5435943603515625,198,403,329,494,131,91,11921
fenqusai/test_photo/bdd100k_test__e1c141dd-a67ed64b.jpg,5,3,traffic_light,0.5377025604248047,343,25,380,93,37,68,2516
fenqusai/test_photo/bdd100k_test__e1c141dd-a67ed64b.jpg,6,3,traffic_light,0.480926513671875,766,352,787,374,21,22,462
fenqusai/test_photo/bdd100k_test__e1c141dd-a67ed64b.jpg,7,3,traffic_light,0.38407325744628906,306,35,338,94,32,59,1888
fenqusai/test_photo/bdd100k_test__e1c141dd-a67ed64b.jpg,8,3,traffic_light,0.3473358154296875,578,172,604,217,26,45,1170
fenqusai/test_photo/bdd100k_test__e1c141dd-a67ed64b.jpg,9,2,car,0.32061767578125,584,421,618,469,34,48,1632
fenqusai/test_photo/bdd100k_test__e1c141dd-a67ed64b.jpg,10,2,car,0.2909209132194519,533,448,557,469,24,21,504
fenqusai/test_photo/bdd100k_test__e4152b55-03c8e526.jpg,0,2,car,0.8878707885742188,622,332,755,449,133,117,15561
fenqusai/test_photo/bdd100k_test__e4152b55-03c8e526.jpg,1,2,car,0.8316020965576172,783,343,859,407,76,64,4864
fenqusai/test_photo/bdd100k_test__e4152b55-03c8e526.jpg,2,2,car,0.6913318634033203,750,344,795,383,45,39,1755
fenqusai/test_photo/bdd100k_test__e4152b55-03c8e526.jpg,3,2,car,0.2738609313964844,732,346,753,365,21,19,399
