image,gt_text,width,height,detection_count,plate_count,plate_texts,best_plate_text,best_lpr_score,best_det_score,yolo_pre_ms,yolo_infer_ms,yolo_post_ms,lpr_total_ms,total_ms,vis_path
fenqusai/test_photo/bdd100k_test__d0956277-df643dbf.jpg,,1280,720,5,0,,,,,11.544290000529145,62.49100300010468,8.572542000365502,0.0,181.25710000003892,fenqusai/tools/pipeline/result_rknn_plate_batch/bdd100k_test__d0956277-df643dbf_vis.jpg
fenqusai/test_photo/bdd100k_test__e0710856-6ba0faa8.jpg,,1280,720,20,0,,,,,7.328308999603905,47.6453869996476,14.573786999790173,0.0,106.940936000683,fenqusai/tools/pipeline/result_rknn_plate_batch/bdd100k_test__e0710856-6ba0faa8_vis.jpg
fenqusai/test_photo/bdd100k_test__e1c141dd-a67ed64b.jpg,,1280,720,11,0,,,,,5.660291999447509,46.46794500058604,10.061186999337224,0.0,98.84147199954896,fenqusai/tools/pipeline/result_rknn_plate_batch/bdd100k_test__e1c141dd-a67ed64b_vis.jpg
fenqusai/test_photo/bdd100k_test__e4152b55-03c8e526.jpg,,1280,720,4,0,,,,,6.903358000272419,38.478729000416934,7.841926999390125,0.0,83.38832299978094,fenqusai/tools/pipeline/result_rknn_plate_batch/bdd100k_test__e4152b55-03c8e526_vis.jpg
fenqusai/test_photo/bdd100k_test__e615a2f6-20b64e5a.jpg,,1280,720,17,0,,,,,4.691097999966587,36.62754700053483,11.457374000201526,0.0,88.66011999998591,fenqusai/tools/pipeline/result_rknn_plate_batch/bdd100k_test__e615a2f6-20b64e5a_vis.jpg
fenqusai/test_photo/bdd100k_test__e664819d-d5b1a40f.jpg,,1280,720,3,0,,,,,4.919177999909152,36.362135000672424,6.60352800059627,0.0,83.40407200012123,fenqusai/tools/pipeline/result_rknn_plate_batch/bdd100k_test__e664819d-d5b1a40f_vis.jpg
fenqusai/test_photo/bdd100k_test__eff80e58-169f6f99.jpg,,1280,720,7,0,,,,,4.776262999257597,39.192426999761665,9.039783999469364,0.0,91.72549200047797,fenqusai/tools/pipeline/result_rknn_plate_batch/bdd100k_test__eff80e58-169f6f99_vis.jpg
fenqusai/test_photo/bdd100k_test__f1acef9d-6e5b6747.jpg,,1280,720,7,0,,,,,4.882427999291394,38.70301799997833,7.205811999483558,0.0,85.12954700017872,fenqusai/tools/pipeline/result_rknn_plate_batch/bdd100k_test__f1acef9d-6e5b6747_vis.jpg
fenqusai/test_photo/bdd100k_test__fb36bb12-438a86b5.jpg,,1280,720,11,0,,,,,4.971094000211451,38.61435199996777,8.425544000601803,0.0,89.39744300005259,fenqusai/tools/pipeline/result_rknn_plate_batch/bdd100k_test__fb36bb12-438a86b5_vis.jpg
fenqusai/test_photo/bdd100k_train__01461010-eeca4bf2.jpg,,1280,720,27,0,,,,,4.733389000648458,38.94947200024035,14.82170000053884,0.0,103.70552600033989,fenqusai/tools/pipeline/result_rknn_plate_batch/bdd100k_train__01461010-eeca4bf2_vis.jpg
