image,plate_index,detection_index,gt_text,match,det_score,estimated_type,decoded_type,plate_subtype,plate_type,plate_text,valid,invalid_reason,raw_text,lpr_score,beam_score,crop_path,crop_width,crop_height,x1,y1,x2,y2
fenqusai/test_photo/ccpd2019_ccpd_base__00885895593869-89_94-252_485_444_539-440_548_245_549_246_482_441_481-0_0_33_24_6_27_30-150-30.jpg,0,0,皖A90G36,True,0.8190155029296875,blue,blue,,blue,皖A90G36,True,,皖A90G36,0.9999992317679567,-1.3828182090946939e-05,fenqusai/tools/pipeline/result_rknn_plate_batch/crops/ccpd2019_ccpd_base__00885895593869-89_94-252_485_444_539-440_548_245_549_246_482_441_481-0_0_33_24_6_27_30-150-30_plate0.jpg,226,84,244,482,438,546
fenqusai/test_photo/ccpd2019_ccpd_base__00948275862069-90_90-274_508_471_569-460_580_277_577_279_517_462_520-0_0_11_12_31_24_24-44-9.jpg,0,0,皖AMN700,False,0.8226394653320312,blue,blue,,blue,赣AMN700,True,,赣AMN700,0.9990670860758074,-0.01680028846603676,fenqusai/tools/pipeline/result_rknn_plate_batch/crops/ccpd2019_ccpd_base__00948275862069-90_90-274_508_471_569-460_580_277_577_279_517_462_520-0_0_11_12_31_24_24-44-9_plate0.jpg,221,87,271,515,461,581
fenqusai/test_photo/ccpd2019_ccpd_base__00965517241379-91_83-179_476_355_543-372_553_180_547_165_480_357_486-0_0_9_11_24_24_31-80-15.jpg,0,0,皖AKM007,False,0.797271728515625,blue,blue,,blue,皖AKMD07,True,,皖AKMD07,0.9753829886022537,-0.44865137323176896,fenqusai/tools/pipeline/result_rknn_plate_batch/crops/ccpd2019_ccpd_base__00965517241379-91_83-179_476_355_543-372_553_180_547_165_480_357_486-0_0_9_11_24_24_31-80-15_plate0.jpg,217,83,173,483,360,546
fenqusai/test_photo/ccpd2019_ccpd_base__0116918103448-93_81-176_378_349_466-340_461_188_450_178_382_330_393-0_0_17_14_28_27_26-84-23.jpg,0,0,皖ATQ432,True,0.8190155029296875,blue,blue,,blue,皖ATQ432,True,,皖ATQ432,0.9997300834882922,-0.00485915302306239,fenqusai/tools/pipeline/result_rknn_plate_batch/crops/ccpd2019_ccpd_base__0116918103448-93_81-176_378_349_466-340_461_188_450_178_382_330_393-0_0_17_14_28_27_26-84-23_plate0.jpg,181,94,182,388,337,459
fenqusai/test_photo/ccpd2019_ccpd_base__0134219348659-90_85-274_525_481_590-484_591_278_599_279_531_485_523-0_0_21_12_33_28_32-99-18.jpg,0,0,皖AXN948,,0.7900238037109375,yellow,green,,green,川TS4N,False,invalid_length_or_empty,川TS4N,0.0,-1.0062510282477888,fenqusai/tools/pipeline/result_rknn_plate_batch/crops/ccpd2019_ccpd_base__0134219348659-90_85-274_525_481_590-484_591_278_599_279_531_485_523-0_0_21_12_33_28_32-99-18_plate0.jpg,241,85,275,528,482,593
fenqusai/test_photo/ccpd2019_ccpd_base__0138793103448-88_91-268_434_458_518-464_499_279_515_279_452_464_436-0_0_27_4_29_31_31-113-21.jpg,0,0,皖A3E577,True,0.8371353149414062,blue,blue,,blue,皖A3E577,True,,皖A3E577,0.9984227308002764,-0.028413259169440153,fenqusai/tools/pipeline/result_rknn_plate_batch/crops/ccpd2019_ccpd_base__0138793103448-88_91-268_434_458_518-464_499_279_515_279_452_464_436-0_0_27_4_29_31_31-113-21_plate0.jpg,222,100,274,439,464,515
fenqusai/test_photo/ccpd2019_ccpd_base__0146048850574-90_90-132_420_376_505-368_494_134_508_129_434_363_420-0_0_27_13_31_29_30-39-23.jpg,0,0,皖A3P756,,0.8226394653320312,green,green,,green,皖N6P756,False,invalid_length_or_empty,皖N6P756,0.0,-0.06394349569335134,fenqusai/tools/pipeline/result_rknn_plate_batch/crops/ccpd2019_ccpd_base__0146048850574-90_90-132_420_376_505-368_494_134_508_129_434_363_420-0_0_27_13_31_29_30-39-23_plate0.jpg,276,105,126,423,364,504
fenqusai/test_photo/ccpd2019_ccpd_base__0151388888889-92_87-257_510_477_575-485_584_252_569_248_500_481_515-0_0_11_2_31_26_25-94-38.jpg,0,0,皖AMC721,True,0.8008956909179688,green,blue,,blue,皖AMC721,True,,皖AMC721,0.996496564388863,-0.063172566238336,fenqusai/tools/pipeline/result_rknn_plate_batch/crops/ccpd2019_ccpd_base__0151388888889-92_87-257_510_477_575-485_584_252_569_248_500_481_515-0_0_11_2_31_26_25-94-38_plate0.jpg,260,90,251,507,475,575
fenqusai/test_photo/ccpd2019_ccpd_base__0169995210728-90_93-204_435_443_518-444_510_208_510_209_439_445_439-0_0_2_0_29_27_31-59-47.jpg,0,0,皖ACA537,True,0.811767578125,blue,blue,,blue,皖ACA537,True,,皖ACA537,0.9808580207291688,-0.34789606227423064,fenqusai/tools/pipeline/result_rknn_plate_batch/crops/ccpd2019_ccpd_base__0169995210728-90_93-204_435_443_518-444_510_208_510_209_439_445_439-0_0_2_0_29_27_31-59-47_plate0.jpg,281,101,203,436,444,513
fenqusai/test_photo/ccpd2019_ccpd_base__0175969827586-89_91-254_544_484_616-491_618_268_624_268_545_491_539-0_0_9_21_29_30_26-130-46.jpg,0,0,皖AKX562,True,0.8190155029296875,blue,blue,,blue,皖AKX562,True,,皖AKX562,0.9999203812422678,-0.0014331946945276286,fenqusai/tools/pipeline/result_rknn_plate_batch/crops/ccpd2019_ccpd_base__0175969827586-89_91-254_544_484_616-491_618_268_624_268_545_491_539-0_0_9_21_29_30_26-130-46_plate0.jpg,256,109,264,543,484,626
